val,video,cond,metric
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
2.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
1.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
0.0,m3v1mp4,before_adapt,keypoint_dropping
